palette_key	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320	false	false	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320|false|false
palette_key	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320	false	true	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320|false|true
palette_key	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320	true	false	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320|true|false
palette_key	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320	true	true	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320|true|true
palette_key	_	false	false	|false|false
palette_key	_	false	true	|false|true
palette_key	_	true	false	|true|false
palette_key	_	true	true	|true|true
palette_key	a|b	false	false	a|b|false|false
palette_key	a|b	false	true	a|b|false|true
palette_key	a|b	true	false	a|b|true|false
palette_key	a|b	true	true	a|b|true|true
band_key	3b800000	3b800000	3f7f0000	3b000000	1075051520
band_key	3b800000	3f000000	3f000000	3e800000	1208090688
band_key	3b800000	3e59b3d0	3f49930c	3dd9b3d0	1130570779
band_key	3b800000	3f371759	3e91d14e	3eb71759	1265705051
band_key	3b800000	3d93dd98	3f6d844d	3d13dd98	1092858889
band_key	3b800000	3f666666	3dccccd0	3ee66666	1314940019
band_key	3b800000	3f800000	00000000	3f000000	1342177408
band_key	3b800000	407f5c29	c03f5c29	3fff5c29	2144338430
band_key	3b800000	40800000	c0400000	40000000	2146435584
band_key	3b800000	40a00000	c0800000	40200000	2146435712
band_key	3b800000	7fc00000	7fc00000	7fc00000	1073741824
band_key	3b800000	7f800000	ff800000	7f800000	2146436095
band_key	3b800000	ff800000	7f800000	ff800000	1074789376
band_key	3f000000	bf800000	40000000	bf000000	137439477760
band_key	3f000000	00000000	3f800000	00000000	137439215616
band_key	3f000000	80000000	3f800000	80000000	137439215616
band_key	3f000000	3089705f	3f800000	3009705f	137439215616
band_key	3f000000	3b800000	3f7f0000	3b000000	137440263168
band_key	3f000000	3f000000	3f000000	3e800000	137573302336
band_key	3f000000	3e59b3d0	3f49930c	3dd9b3d0	137495782427
band_key	3f000000	3f371759	3e91d14e	3eb71759	137630916699
band_key	3f000000	3d93dd98	3f6d844d	3d13dd98	137458070537
band_key	3f000000	3f666666	3dccccd0	3ee66666	137680151667
band_key	3f000000	3f800000	00000000	3f000000	137707389056
band_key	3f000000	407f5c29	c03f5c29	3fff5c29	138509550078
band_key	3f000000	40800000	c0400000	40000000	138511647232
band_key	3f000000	40a00000	c0800000	40200000	138511647360
band_key	3f000000	7fc00000	7fc00000	7fc00000	137438953472
band_key	3f000000	7f800000	ff800000	7f800000	138511647743
band_key	3f000000	ff800000	7f800000	ff800000	137440001024
band_key	3e59b3d0	bf800000	40000000	bf000000	57982582784
band_key	3e59b3d0	00000000	3f800000	00000000	57982320640
band_key	3e59b3d0	80000000	3f800000	80000000	57982320640
band_key	3e59b3d0	3089705f	3f800000	3009705f	57982320640
band_key	3e59b3d0	3b800000	3f7f0000	3b000000	57983368192
band_key	3e59b3d0	3f000000	3f000000	3e800000	58116407360
band_key	3e59b3d0	3e59b3d0	3f49930c	3dd9b3d0	58038887451
band_key	3e59b3d0	3f371759	3e91d14e	3eb71759	58174021723
band_key	3e59b3d0	3d93dd98	3f6d844d	3d13dd98	58001175561
band_key	3e59b3d0	3f666666	3dccccd0	3ee66666	58223256691
band_key	3e59b3d0	3f800000	00000000	3f000000	58250494080
band_key	3e59b3d0	407f5c29	c03f5c29	3fff5c29	59052655102
band_key	3e59b3d0	40800000	c0400000	40000000	59054752256
band_key	3e59b3d0	40a00000	c0800000	40200000	59054752384
band_key	3e59b3d0	7fc00000	7fc00000	7fc00000	57982058496
band_key	3e59b3d0	7f800000	ff800000	7f800000	59054752767
band_key	3e59b3d0	ff800000	7f800000	ff800000	57983106048
band_key	3f371759	bf800000	40000000	bf000000	196495278080
band_key	3f371759	00000000	3f800000	00000000	196495015936
band_key	3f371759	80000000	3f800000	80000000	196495015936
band_key	3f371759	3089705f	3f800000	3009705f	196495015936
band_key	3f371759	3b800000	3f7f0000	3b000000	196496063488
band_key	3f371759	3f000000	3f000000	3e800000	196629102656
band_key	3f371759	3e59b3d0	3f49930c	3dd9b3d0	196551582747
band_key	3f371759	3f371759	3e91d14e	3eb71759	196686717019
band_key	3f371759	3d93dd98	3f6d844d	3d13dd98	196513870857
band_key	3f371759	3f666666	3dccccd0	3ee66666	196735951987
band_key	3f371759	3f800000	00000000	3f000000	196763189376
band_key	3f371759	407f5c29	c03f5c29	3fff5c29	197565350398
band_key	3f371759	40800000	c0400000	40000000	197567447552
band_key	3f371759	40a00000	c0800000	40200000	197567447680
band_key	3f371759	7fc00000	7fc00000	7fc00000	196494753792
band_key	3f371759	7f800000	ff800000	7f800000	197567448063
band_key	3f371759	ff800000	7f800000	ff800000	196495801344
band_key	3d93dd98	bf800000	40000000	bf000000	19327877120
band_key	3d93dd98	00000000	3f800000	00000000	19327614976
band_key	3d93dd98	80000000	3f800000	80000000	19327614976
band_key	3d93dd98	3089705f	3f800000	3009705f	19327614976
band_key	3d93dd98	3b800000	3f7f0000	3b000000	19328662528
band_key	3d93dd98	3f000000	3f000000	3e800000	19461701696
band_key	3d93dd98	3e59b3d0	3f49930c	3dd9b3d0	19384181787
band_key	3d93dd98	3f371759	3e91d14e	3eb71759	19519316059
band_key	3d93dd98	3d93dd98	3f6d844d	3d13dd98	19346469897
band_key	3d93dd98	3f666666	3dccccd0	3ee66666	19568551027
band_key	3d93dd98	3f800000	00000000	3f000000	19595788416
band_key	3d93dd98	407f5c29	c03f5c29	3fff5c29	20397949438
band_key	3d93dd98	40800000	c0400000	40000000	20400046592
band_key	3d93dd98	40a00000	c0800000	40200000	20400046720
band_key	3d93dd98	7fc00000	7fc00000	7fc00000	19327352832
band_key	3d93dd98	7f800000	ff800000	7f800000	20400047103
band_key	3d93dd98	ff800000	7f800000	ff800000	19328400384
band_key	3f666666	bf800000	40000000	bf000000	246961143808
band_key	3f666666	00000000	3f800000	00000000	246960881664
band_key	3f666666	80000000	3f800000	80000000	246960881664
band_key	3f666666	3089705f	3f800000	3009705f	246960881664
band_key	3f666666	3b800000	3f7f0000	3b000000	246961929216
band_key	3f666666	3f000000	3f000000	3e800000	247094968384
band_key	3f666666	3e59b3d0	3f49930c	3dd9b3d0	247017448475
band_key	3f666666	3f371759	3e91d14e	3eb71759	247152582747
band_key	3f666666	3d93dd98	3f6d844d	3d13dd98	246979736585
band_key	3f666666	3f666666	3dccccd0	3ee66666	247201817715
band_key	3f666666	3f800000	00000000	3f000000	247229055104
band_key	3f666666	407f5c29	c03f5c29	3fff5c29	248031216126
band_key	3f666666	40800000	c0400000	40000000	248033313280
band_key	3f666666	40a00000	c0800000	40200000	248033313408
band_key	3f666666	7fc00000	7fc00000	7fc00000	246960619520
band_key	3f666666	7f800000	ff800000	7f800000	248033313791
band_key	3f666666	ff800000	7f800000	ff800000	246961667072
band_key	3f800000	bf800000	40000000	bf000000	274878431232
band_key	3f800000	00000000	3f800000	00000000	274878169088
band_key	3f800000	80000000	3f800000	80000000	274878169088
band_key	3f800000	3089705f	3f800000	3009705f	274878169088
band_key	3f800000	3b800000	3f7f0000	3b000000	274879216640
band_key	3f800000	3f000000	3f000000	3e800000	275012255808
band_key	3f800000	3e59b3d0	3f49930c	3dd9b3d0	274934735899
band_key	3f800000	3f371759	3e91d14e	3eb71759	275069870171
band_key	3f800000	3d93dd98	3f6d844d	3d13dd98	274897024009
band_key	3f800000	3f666666	3dccccd0	3ee66666	275119105139
band_key	3f800000	3f800000	00000000	3f000000	275146342528
band_key	3f800000	407f5c29	c03f5c29	3fff5c29	275948503550
band_key	3f800000	40800000	c0400000	40000000	275950600704
band_key	3f800000	40a00000	c0800000	40200000	275950600832
band_key	3f800000	7fc00000	7fc00000	7fc00000	274877906944
band_key	3f800000	7f800000	ff800000	7f800000	275950601215
band_key	3f800000	ff800000	7f800000	ff800000	274878954496
band_key	407f5c29	bf800000	40000000	bf000000	1096290926592
band_key	407f5c29	00000000	3f800000	00000000	1096290664448
band_key	407f5c29	80000000	3f800000	80000000	1096290664448
band_key	407f5c29	3089705f	3f800000	3009705f	1096290664448
band_key	407f5c29	3b800000	3f7f0000	3b000000	1096291712000
band_key	407f5c29	3f000000	3f000000	3e800000	1096424751168
band_key	407f5c29	3e59b3d0	3f49930c	3dd9b3d0	1096347231259
band_key	407f5c29	3f371759	3e91d14e	3eb71759	1096482365531
band_key	407f5c29	3d93dd98	3f6d844d	3d13dd98	1096309519369
band_key	407f5c29	3f666666	3dccccd0	3ee66666	1096531600499
band_key	407f5c29	3f800000	00000000	3f000000	1096558837888
band_key	407f5c29	407f5c29	c03f5c29	3fff5c29	1097360998910
band_key	407f5c29	40800000	c0400000	40000000	1097363096064
band_key	407f5c29	40a00000	c0800000	40200000	1097363096192
band_key	407f5c29	7fc00000	7fc00000	7fc00000	1096290402304
band_key	407f5c29	7f800000	ff800000	7f800000	1097363096575
band_key	407f5c29	ff800000	7f800000	ff800000	1096291449856
band_key	40800000	bf800000	40000000	bf000000	1098438410240
band_key	40800000	00000000	3f800000	00000000	1098438148096
band_key	40800000	80000000	3f800000	80000000	1098438148096
band_key	40800000	3089705f	3f800000	3009705f	1098438148096
band_key	40800000	3b800000	3f7f0000	3b000000	1098439195648
band_key	40800000	3f000000	3f000000	3e800000	1098572234816
band_key	40800000	3e59b3d0	3f49930c	3dd9b3d0	1098494714907
band_key	40800000	3f371759	3e91d14e	3eb71759	1098629849179
band_key	40800000	3d93dd98	3f6d844d	3d13dd98	1098457003017
band_key	40800000	3f666666	3dccccd0	3ee66666	1098679084147
band_key	40800000	3f800000	00000000	3f000000	1098706321536
band_key	40800000	407f5c29	c03f5c29	3fff5c29	1099508482558
band_key	40800000	40800000	c0400000	40000000	1099510579712
band_key	40800000	40a00000	c0800000	40200000	1099510579840
band_key	40800000	7fc00000	7fc00000	7fc00000	1098437885952
band_key	40800000	7f800000	ff800000	7f800000	1099510580223
band_key	40800000	ff800000	7f800000	ff800000	1098438933504
band_key	40a00000	bf800000	40000000	bf000000	1098438410240
band_key	40a00000	00000000	3f800000	00000000	1098438148096
band_key	40a00000	80000000	3f800000	80000000	1098438148096
band_key	40a00000	3089705f	3f800000	3009705f	1098438148096
band_key	40a00000	3b800000	3f7f0000	3b000000	1098439195648
band_key	40a00000	3f000000	3f000000	3e800000	1098572234816
band_key	40a00000	3e59b3d0	3f49930c	3dd9b3d0	1098494714907
band_key	40a00000	3f371759	3e91d14e	3eb71759	1098629849179
band_key	40a00000	3d93dd98	3f6d844d	3d13dd98	1098457003017
band_key	40a00000	3f666666	3dccccd0	3ee66666	1098679084147
band_key	40a00000	3f800000	00000000	3f000000	1098706321536
band_key	40a00000	407f5c29	c03f5c29	3fff5c29	1099508482558
band_key	40a00000	40800000	c0400000	40000000	1099510579712
band_key	40a00000	40a00000	c0800000	40200000	1099510579840
band_key	40a00000	7fc00000	7fc00000	7fc00000	1098437885952
band_key	40a00000	7f800000	ff800000	7f800000	1099510580223
band_key	40a00000	ff800000	7f800000	ff800000	1098438933504
band_key	7fc00000	bf800000	40000000	bf000000	524288
band_key	7fc00000	00000000	3f800000	00000000	262144
band_key	7fc00000	80000000	3f800000	80000000	262144
band_key	7fc00000	3089705f	3f800000	3009705f	262144
band_key	7fc00000	3b800000	3f7f0000	3b000000	1309696
band_key	7fc00000	3f000000	3f000000	3e800000	134348864
band_key	7fc00000	3e59b3d0	3f49930c	3dd9b3d0	56828955
band_key	7fc00000	3f371759	3e91d14e	3eb71759	191963227
band_key	7fc00000	3d93dd98	3f6d844d	3d13dd98	19117065
band_key	7fc00000	3f666666	3dccccd0	3ee66666	241198195
band_key	7fc00000	3f800000	00000000	3f000000	268435584
band_key	7fc00000	407f5c29	c03f5c29	3fff5c29	1070596606
band_key	7fc00000	40800000	c0400000	40000000	1072693760
band_key	7fc00000	40a00000	c0800000	40200000	1072693888
band_key	7fc00000	7fc00000	7fc00000	7fc00000	0
band_key	7fc00000	7f800000	ff800000	7f800000	1072694271
band_key	7fc00000	ff800000	7f800000	ff800000	1047552
band_key	7f800000	bf800000	40000000	bf000000	1098438410240
band_key	7f800000	00000000	3f800000	00000000	1098438148096
band_key	7f800000	80000000	3f800000	80000000	1098438148096
band_key	7f800000	3089705f	3f800000	3009705f	1098438148096
band_key	7f800000	3b800000	3f7f0000	3b000000	1098439195648
band_key	7f800000	3f000000	3f000000	3e800000	1098572234816
band_key	7f800000	3e59b3d0	3f49930c	3dd9b3d0	1098494714907
band_key	7f800000	3f371759	3e91d14e	3eb71759	1098629849179
band_key	7f800000	3d93dd98	3f6d844d	3d13dd98	1098457003017
band_key	7f800000	3f666666	3dccccd0	3ee66666	1098679084147
band_key	7f800000	3f800000	00000000	3f000000	1098706321536
band_key	7f800000	407f5c29	c03f5c29	3fff5c29	1099508482558
band_key	7f800000	40800000	c0400000	40000000	1099510579712
band_key	7f800000	40a00000	c0800000	40200000	1099510579840
band_key	7f800000	7fc00000	7fc00000	7fc00000	1098437885952
band_key	7f800000	7f800000	ff800000	7f800000	1099510580223
band_key	7f800000	ff800000	7f800000	ff800000	1098438933504
band_key	ff800000	bf800000	40000000	bf000000	-
band_key	ff800000	00000000	3f800000	00000000	-
band_key	ff800000	80000000	3f800000	80000000	-
band_key	ff800000	3089705f	3f800000	3009705f	-
band_key	ff800000	3b800000	3f7f0000	3b000000	-
band_key	ff800000	3f000000	3f000000	3e800000	-
band_key	ff800000	3e59b3d0	3f49930c	3dd9b3d0	-
band_key	ff800000	3f371759	3e91d14e	3eb71759	-
band_key	ff800000	3d93dd98	3f6d844d	3d13dd98	-
band_key	ff800000	3f666666	3dccccd0	3ee66666	-
band_key	ff800000	3f800000	00000000	3f000000	-
band_key	ff800000	407f5c29	c03f5c29	3fff5c29	-
band_key	ff800000	40800000	c0400000	40000000	-
band_key	ff800000	40a00000	c0800000	40200000	-
band_key	ff800000	7fc00000	7fc00000	7fc00000	-
band_key	ff800000	7f800000	ff800000	7f800000	-
band_key	ff800000	ff800000	7f800000	ff800000	-
